11.04,10.72,11.44,11.36,11.36,9.28,11.36,11.28,10.5,4.88,4.96,6.32,5.12,4.56,6.32,5.36,6.08,7.6,6.32,6.16,2.48,3.28,2.72,3.04,4.72,5.04,3.76,4.48,3.92,3.68,1.44,2.24,2.48,1.24,3.28,4.96,4.48,3.04,2,2.16,2.08,2.32,2.4,1.36,2.64,2.72,2.88,8.88,7.2,10.08,8.48,9.28,8.32,9.12,4.8,3.04,4.08,3.28,5.84,3.44,4.8,5.6,6.24,5.92,5.28,6.4,8.24,5.68,10.16,6.56,6.4,7.44,8.48,6.64,7.44,0.64,0.72,11.36,8.48,9.2,10.32,9.67,9.2,9.44,7.04,8.32,6.8,6.72,6.48,6.64,6.96,5.88,2.16,2.4,3.6,2.72,4.48,2.72,2.96,4.8
0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.4905,0.4905,0.4905,0.4905,0.4905,0.4905,0.4905,0.4905,0.4905,0.4905,0.4905,0.1962,0.1962,0.1962,0.1962,0.1962,0.1962,0.1962,0.1962,0.1962,0.1962,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.04905,0.04905,0.04905,0.04905,0.04905,0.04905,0.04905,0.73575,0.73575,0.73575,0.73575,0.73575,0.73575,0.73575,0.34335,0.34335,0.34335,0.34335,0.34335,0.34335,0.34335,0.44145,0.44145,0.44145,0.44145,0.44145,0.44145,0.44145,0.63765,0.63765,0.63765,0.63765,0.63765,0.63765,0.63765,0,0,0.83385,0.83385,0.83385,0.83385,0.83385,0.83385,0.83385,0.53955,0.53955,0.53955,0.53955,0.53955,0.53955,0.53955,0.53955,0.24525,0.24525,0.24525,0.24525,0.24525,0.24525,0.24525,0.24525
9,,,,,,,,,11,,,,,,,,,,10,,,,,,,,,,10,,,,,,,,,,7,,,,,,,7,,,,,,,7,,,,,,,7,,,,,,,7,,,,,,,2,,7,,,,,,,8,,,,,,,,8,,,,,,,,
